Parameter Source Pipeline,Detection Pipeline(s),TIC,Full TOI ID,TOI Disposition,TIC Right Ascension,TIC Declination,TIC Right Ascension 2015.5,TIC Declination 2015.5,TMag Value,TMag Uncertainty,Epoch Value,Epoch Error,Orbital Period Value,Orbital Period Error,Transit Duration Value,Transit Duration Error,Transit Depth Value,Transit Depth Error,Sectors,Public Comment,Surface Gravity Value,Surface Gravity Uncertainty,Signal ID,Star Radius Value,Star Radius Error,Planet Radius Value,Planet Radius Error,Planet Equilibrium Temperature (K) Value,Effective Temperature Value,Effective Temperature Uncertainty,Effective Stellar Flux Value,Signal-to-noise,Luminosity,AB_Mag,Weight,Distance (pc)
spoc-s61-b0A,CTOI,321086563,2565.01,PC,117.0475635,2.1236349,117.0475136,2.123685399,12.364,0.006,2966.257472,0.003230676,3.970445715,0.001099782,3.779304391,0.3149477,3689.478136,239.78801,"[7, 34, 61]",CTOI from Olmschenk (2021),3.9,0.08,1,1.897320032,0.108567,11.72227355,1.6124917,1588.939866,5840,123,1506.436563,12.22194,1.44E+34,12.80625768,0.3,100
qlp-s58-tois,QLP,445407434,3646.01,PC,14.6726257,57.5900887,14.67260851,57.5900651,13.386,0.017,2908.958083,0.0009468,2.1795448,2.70E-06,2.523,0.089,24110,609.563,"[17, 18, 58]",found in faint-star QLP search,4.15,,1,1.42,,21.4131,,1515,5840,122,875.049,39,8.09E+33,13.82825768,0.3,100
qlp-s41-7583660,QLP,7583660,5214.01,PC,272.537686,47.8756625,272.5376671,47.87567603,12.023,0.007,2445.571125,0.0024711,5.3333965,3.82E-05,5.577,0.361,2710,1.49702,"[14, 25, 26, 40, 41]",found in faint-star QLP search,3.65,0.08,1,2.53,0.15,13.3147,0.87594,1513,5840.8,140.2,871.955,18,2.57E+34,12.46525768,0.3,100
spoc-s14-s60-b0A-PC,CTOI,26547036,2010.01,PC,292.1666485,53.48732153,292.1669417,53.48736935,9.26693,0.0062,2846.977285,0.006372369,1134.672396,5.09E-05,8.684462279,0.041797563,11679.21595,82.38331,"[14, 15, 16, 56]",roughly Jupiter size; multiple stars in pixel; CTOI from Planet Hunters; actual period likely shorter than max period of ~1134.7 days,4.39929,0.0793101,1,1.073519945,0.0529397,11.75821955,0.5836612,437.2015486,5842,129.228,8.634710235,129.00015,4.63E+33,9.709187675,0.3,100
qlp-s58-tois,QLP,470169396,4024.01,PC,335.6276258,78.2623435,335.6276054,78.26233294,13.231,0.008,2909.262917,0.0037756,6.3262148,2.97E-05,5.353,0.399,4928,202.261,"[17, 18, 19, 24, 25, 52, 58]",found in faint-star QLP search,3.9,,1,1.9,,12.5231,,1354,5842,122,558.3,20,1.45E+34,13.67325768,0.3,100
qlp-s57-ffi,SPOC,199949052,6010.01,PC,336.7378205,45.9720374,336.7376349,45.971999,10.496,0.006,2881.320771,0.0007148,0.586806,2.80E-06,0.485,0.187,840,446.283,"[16, 56, 57]",possible odd-even; low a/Rs,4.17,0.08,1,1.48,0.07,6.44104,0.965099,1938,5842,130.8,2345.92,24,8.80E+33,10.93825768,0.3,100
spoc-s59-b0A,SPOC,121966220,1688.01,PC,75.79773644,41.78583221,75.79781324,41.78578377,10.8001,0.0061,2914.901064,0.00088074,6.717191254,0.000473321,7.50372079,0.0725633,9138.715071,98.50088,"[19, 59]",possibly too large for insolation,3.7177,0.0858957,1,2.352900028,0.118236,22.87565797,1.1757971,1484.812146,5843,170.189,1148.701129,91.46608,2.23E+34,11.24235768,0.3,100
qlp-s34-faintsearch,QLP,50575306,4802.01,PC,112.4911373,-13.6249631,112.4910729,-13.62505469,13.168,0.006,2249.153752,0.0034844,1.7131374,1.74E-05,2.608,0.329,3850,8.27739,"[7, 34]",found in faint-star QLP search,4.39,,1,1.08,,6.86542,,1844,5843,122,1919.49,10,4.69E+33,13.61025768,0.3,100
qlp-s63-ffi,QLP,447206604,1999.01,PC,156.995037,-48.428555,156.9951081,-48.42854726,10.359,0.019,3033.285881,0.0005934,7.2133579,6.10E-06,2.345,0.329,8814,7645.12,"[9, 10, 36, 63]",V-shaped. Large for insolation. Likely EB. See observing notes regarding BEB.,4.33,2,1,1.16,,21.2234,,0,5843,32,271.595,91,5.41E+33,10.80125768,0.3,100
spoc-s14-s55-b0A-KP,SPOC,377873569,4480.01,KP,294.3565562,38.94736551,294.3565559,38.94734236,11.0418,0.0087,2771.442186,0.00358334,3.84938456,3.22E-05,2.690826921,0.18554522,1372.287668,86.32825,"[41, 54, 55]",Kepler-1658 b,3.27448,0.0854146,1,3.911910057,0.219008,16.80880008,1.2394345,2306.602786,5843.47,135.15,6689.786392,15.62898,6.15E+34,11.48405768,0.3,100
